temperature,hour,is_weekend,energy
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
9,9,9,9
